annee,cotisants_millions,retraites_millions,ratio_cotisants_retraite,type_donnee,source_reference,effort_cotisation_50pct
2020,28.7,16.9,1.698,historique_constate,DREES (Les retraités et les retraites) / Insee,29.45
2021,29.143,16.947,1.72,historique_constate,DREES (Les retraités et les retraites) / Insee,29.07
2022,29.6,17.0,1.741,historique_constate,DREES (Les retraités et les retraites) / Insee,28.72
2023,29.895,17.208,1.737,historique_constate,DREES (Les retraités et les retraites) / Insee,28.79
2024,30.1,17.5,1.72,historique_constate,DREES (Les retraités et les retraites) / Insee,29.07
2025,30.218,17.753,1.702,projection,COR (Scénario de référence) / Insee démographie 2021-2070,29.38
2026,30.3,18.0,1.683,projection,COR (Scénario de référence) / Insee démographie 2021-2070,29.71
2027,30.37,18.235,1.665,projection,COR (Scénario de référence) / Insee démographie 2021-2070,30.03
2028,30.435,18.463,1.648,projection,COR (Scénario de référence) / Insee démographie 2021-2070,30.34
2029,30.482,18.685,1.631,projection,COR (Scénario de référence) / Insee démographie 2021-2070,30.66
2030,30.5,18.9,1.614,projection,COR (Scénario de référence) / Insee démographie 2021-2070,30.98
2031,30.494,19.11,1.596,projection,COR (Scénario de référence) / Insee démographie 2021-2070,31.33
2032,30.478,19.314,1.578,projection,COR (Scénario de référence) / Insee démographie 2021-2070,31.69
2033,30.454,19.513,1.561,projection,COR (Scénario de référence) / Insee démographie 2021-2070,32.03
2034,30.427,19.709,1.544,projection,COR (Scénario de référence) / Insee démographie 2021-2070,32.38
2035,30.4,19.9,1.528,projection,COR (Scénario de référence) / Insee démographie 2021-2070,32.72
2036,30.369,20.09,1.512,projection,COR (Scénario de référence) / Insee démographie 2021-2070,33.07
2037,30.33,20.278,1.496,projection,COR (Scénario de référence) / Insee démographie 2021-2070,33.42
2038,30.286,20.461,1.48,projection,COR (Scénario de référence) / Insee démographie 2021-2070,33.78
2039,30.242,20.636,1.465,projection,COR (Scénario de référence) / Insee démographie 2021-2070,34.13
2040,30.2,20.8,1.452,projection,COR (Scénario de référence) / Insee démographie 2021-2070,34.44
2041,30.16,20.953,1.439,projection,COR (Scénario de référence) / Insee démographie 2021-2070,34.75
2042,30.12,21.098,1.428,projection,COR (Scénario de référence) / Insee démographie 2021-2070,35.01
2043,30.08,21.236,1.416,projection,COR (Scénario de référence) / Insee démographie 2021-2070,35.31
2044,30.04,21.37,1.406,projection,COR (Scénario de référence) / Insee démographie 2021-2070,35.56
2045,30.0,21.5,1.395,projection,COR (Scénario de référence) / Insee démographie 2021-2070,35.84
2046,29.96,21.632,1.385,projection,COR (Scénario de référence) / Insee démographie 2021-2070,36.1
2047,29.92,21.764,1.375,projection,COR (Scénario de référence) / Insee démographie 2021-2070,36.36
2048,29.88,21.891,1.365,projection,COR (Scénario de référence) / Insee démographie 2021-2070,36.63
2049,29.84,22.005,1.356,projection,COR (Scénario de référence) / Insee démographie 2021-2070,36.87
2050,29.8,22.1,1.348,projection,COR (Scénario de référence) / Insee démographie 2021-2070,37.09
2051,29.76,22.179,1.342,projection,COR (Scénario de référence) / Insee démographie 2021-2070,37.26
2052,29.72,22.251,1.336,projection,COR (Scénario de référence) / Insee démographie 2021-2070,37.43
2053,29.68,22.317,1.33,projection,COR (Scénario de référence) / Insee démographie 2021-2070,37.59
2054,29.64,22.378,1.325,projection,COR (Scénario de référence) / Insee démographie 2021-2070,37.74
2055,29.6,22.436,1.319,projection,COR (Scénario de référence) / Insee démographie 2021-2070,37.91
2056,29.56,22.49,1.314,projection,COR (Scénario de référence) / Insee démographie 2021-2070,38.05
2057,29.52,22.543,1.309,projection,COR (Scénario de référence) / Insee démographie 2021-2070,38.2
2058,29.48,22.594,1.305,projection,COR (Scénario de référence) / Insee démographie 2021-2070,38.31
2059,29.44,22.646,1.3,projection,COR (Scénario de référence) / Insee démographie 2021-2070,38.46
2060,29.4,22.7,1.295,projection,COR (Scénario de référence) / Insee démographie 2021-2070,38.61
2061,29.36,22.756,1.29,projection,COR (Scénario de référence) / Insee démographie 2021-2070,38.76
2062,29.321,22.813,1.285,projection,COR (Scénario de référence) / Insee démographie 2021-2070,38.91
2063,29.283,22.87,1.28,projection,COR (Scénario de référence) / Insee démographie 2021-2070,39.06
2064,29.244,22.927,1.276,projection,COR (Scénario de référence) / Insee démographie 2021-2070,39.18
2065,29.206,22.982,1.271,projection,COR (Scénario de référence) / Insee démographie 2021-2070,39.34
2066,29.166,23.035,1.266,projection,COR (Scénario de référence) / Insee démographie 2021-2070,39.49
2067,29.127,23.084,1.262,projection,COR (Scénario de référence) / Insee démographie 2021-2070,39.62
2068,29.086,23.129,1.258,projection,COR (Scénario de référence) / Insee démographie 2021-2070,39.75
2069,29.044,23.168,1.254,projection,COR (Scénario de référence) / Insee démographie 2021-2070,39.87
2070,29.0,23.2,1.25,projection,COR (Scénario de référence) / Insee démographie 2021-2070,40.0
